close_date,MXWDU_Index,HDB_US_Equity,NTES_US_Equity,BAP_US_EQUITY,NVO_US_Equity,ACN_US_Equity,6861_JT_Equity,MELI_US_Equity,AIR_FP_Equity,TSM_US_Equity,ASML_US_Equity,ABEV_US_EQUITY,BAX_US_EQUITY,KER_FP_Equity,MC_FP_Equity,ADS_GR_Equity,NESN_SW_Equity,UBI_FP_Equity,ITUB_US_Equity,BRFS_US_Equity,CHKP_US_EQUITY,AZN_US_Equity,BBD_US_Equity,UL_US_Equity,PA1_COMB_Comdty,GC1_Comdty,BAYN_GR_Equity,DEO_US_Equity,DG_FP_Equity,RIO_US_Equity,LRLCY_US_Equity,NVS_US_Equity,SNY_US_Equity,GSK_US_Equity,RY_US_Equity,TTM_US_Equity,IBE_SM_Equity,SAP_US_Equity,BIDU_US_EQUITY,EWL_US_EQUITY,EEM_US_EQUITY,BRK/B_US_Equity,CRH_US_EQUITY,VALE_US_Equity,EWM_US_EQUITY,EWS_US_EQUITY,EWH_US_EQUITY,EWZ_US_EQUITY,EWA_US_EQUITY,TM_US_Equity,EWN_US_EQUITY,EWC_US_EQUITY,SLV_US_EQUITY,EWY_US_EQUITY,EWG_US_EQUITY,EWQ_US_EQUITY,EZA_US_EQUITY,VGK_US_EQUITY,ECH_US_EQUITY,EWT_US_Equity,SIEGY_US_Equity,SNE_US_Equity,EWJ_US_EQUITY,EWU_US_EQUITY,EWI_US_EQUITY,TOT_US_Equity,EWP_US_EQUITY,HMC_US_Equity,SAN_US_Equity,TEVA_US_Equity,MUFG_US_Equity
28/11/2008,167.41,5.3247,16.042,33.9652,8.0985,24.7376,3180.8,11.9381,10.5648,4.7523,13.564,1.1853,23.035,25.26,31.82,20.669,30.9852,18.09,2.9931,7.1299,20.61,11.161,2.6276,15.6807,192.6,816.2,29.571,40.9711,20.2869,12.9285,12.9798,27.6378,17.5109,19.1551,21.0755,4.1767,3.0999,28.6541,13.588,13.0438,18.067,69.98,14.3641,7.66,14.004,8.6107,7.1423,24.3454,7.7341,48.0355,10.5034,13.3685,10.23,20.2113,12.8481,14.0417,22.4987,24.0113,24.6528,10.9186,19.9309,17.5363,28.84,15.876,21.903,28.6051,19.8295,16.806,3.6252,34.8501,3.9843
31/12/2008,176.75,6.6447,19.268,38.8307,8.1445,26.1829,3647.8,15.9013,10.2002,5.2508,15.9883,1.2082,23.4495,31.51,34.09,22.924,29.3351,13.95,2.9996,5.8722,18.99,12.1371,2.5031,15.7628,188.7,884.3,30.085,41.2401,19.6189,11.4947,14.1576,29.3107,20.3597,20.7291,19.2102,4.0849,3.4834,30.3998,13.057,14.5706,19.934,64.28,16.9568,7.7691,14.86,9.3039,7.4638,25.3421,8.4852,49.8169,11.6405,13.8967,11.2,23.782,14.946,15.5274,25.2068,25.7367,25.0255,11.5264,25.2892,19.7894,32.16,16.006,23.7583,29.9879,22.8128,16.3351,4.214,34.3817,4.515
30/01/2009,160.97,5.3675,16.574,32.0998,8.4202,25.2008,3329.1,12.9943,11.6205,5.0115,14.6346,1.117,25.6637,26.8,30.55,22.907,28.3337,11.07,2.6048,6.0391,22.67,11.3976,2.271,15.0096,193.3,927.3,30.201,39.4957,17.5523,11.2155,10.6888,24.3038,17.8338,19.6112,16.1679,3.7086,3.3108,29.6948,12.877,12.4408,18.082,59.78,15.4716,9.0522,14.289,8.5121,7.2119,25.7115,7.0317,48.3476,10.4468,13.3146,12.52,22.5576,12.0533,12.9383,21.6937,22.1741,28.2397,10.3419,19.4346,17.3915,28.3,14.504,19.801,26.9945,18.887,17.3455,3.5554,33.4771,3.9988
27/02/2009,145.57,4.7475,17.855,28.3769,7.6738,23.3083,3744,16.192,9.8865,5.0115,13.387,1.108,22.2768,32.12,32.39,19.368,27.0362,11.925,2.3829,5.4136,21.97,9.7073,2.2141,13.2019,194.85,942.5,27.696,33.7901,16.8362,13.5362,10.4871,22.2995,16.2194,16.9889,15.964,3.222,2.8316,26.9754,14.832,11.0341,16.949,51.28,13.172,8.2695,14.248,7.5751,6.924,24.77,6.7955,48.066,9.1751,12.031,12.88,18.5358,10.4902,11.6697,20.0386,19.8728,28.1138,10.3571,17.5487,14.9846,24.74,13.093,17.0468,25.5955,16.7101,18.088,2.73,36.1145,3.2499
31/03/2009,156.66,5.6719,23.409,36.4057,7.7802,21.9509,4084.9,17.9749,7.4276,5.9487,15.7302,1.3076,22.5262,32.65,33.75,21.167,27.1349,13.76,2.8549,5.5227,22.21,10.8934,2.5157,12.9622,218.8,922.6,26.327,33.1446,18.2815,17.7908,11.0922,23.2714,17.6818,17.5189,19.0226,4.5255,2.8752,29.6193,17.66,11.9693,19.807,56.4,15.7383,8.5325,14.248,8.3141,7.3198,27.3049,8.1097,48.7236,9.7212,13.1233,12.79,24.1986,11.6411,12.7602,24.3367,21.4025,28.9698,12.2554,19.7501,18.7804,26.52,13.694,18.3225,26.6041,18.1091,18.2048,3.1291,36.4953,3.6109
30/04/2009,177.25,6.8905,26.312,40.0679,7.7039,23.4999,3835.4,26.4827,9.3269,7.0254,19.0002,1.5506,21.3299,39.52,40.96,24.09,27.3584,14.9,3.6046,6.5422,23.17,10.7459,3.1225,13.3251,218.2,891.2,27.225,35.4407,22.3655,21.6248,11.7394,23.3207,19.1806,17.5794,23.5293,7.0775,3.2672,31.9693,23.29,12.7473,22.888,61.3,18.6196,10.7504,16.572,9.6602,8.5434,32.6645,8.8971,60.9315,10.8057,14.9411,12.21,29.0961,13.4452,14.2069,26.5284,24.2204,31.0259,15.5204,23.203,23.5415,28.57,15.327,21.7724,26.962,20.9373,22.3221,4.3239,35.5556,3.9779
29/05/2009,200.11,9.2624,30.148,48.2385,8.445,23.8992,4380.8,20.9691,9.7127,7.2714,18.5959,1.8015,22.513,42.23,42.65,22.242,28.3397,14.35,4.2155,8.628,23.35,12.8201,3.885,16.5904,236.05,978.8,30.152,40.4105,22.8748,24.0786,13.099,24.6186,21.1641,19.2654,26.7784,8.8858,3.2836,37.0051,26.38,14.2484,26.537,59.44,17.0703,12.4694,17.979,12.2997,10.206,39.9796,9.9752,61.6935,12.4051,18.4173,15.47,30.7031,15.0386,16.2767,31.4153,27.6756,37.1233,17.115,25.4598,23.8783,31.46,17.94,24.8165,32.1807,24.0369,22.299,5.0753,37.6841,4.6531
30/06/2009,197.51,9.6576,30.671,46.6204,8.8309,26.7179,4349.9,26.0467,9.9248,6.2544,19.4494,1.7843,23.4194,41.47,39.64,23.336,29.9654,17.345,4.1593,8.4989,23.47,13.5637,3.7595,16.5201,250.95,927.4,28.724,42.4029,21.5985,21.7469,12.4109,25.0923,19.6948,20.1969,27.1978,7.821,3.1474,34.3076,30.109,14.1299,25.94,57.91,16.6722,11.4797,18.361,11.9935,10.0213,38.6859,10.2052,58.1374,12.1838,17.1526,13.38,29.7573,14.4219,15.5721,31.6399,27.0248,38.3677,15.323,23.9865,23.5415,31.83,17.574,23.8659,30.2717,24.7937,21.09,5.718,40.1064,4.5063
31/07/2009,216.52,9.1556,38.413,53.4292,9.4682,28.0035,4126.9,27.9168,11.5373,7.3341,23.3662,1.9563,24.9274,55.76,46.11,25.533,32.2062,11.985,4.7025,9.8211,26.69,14.2705,4.041,18.5236,264.6,953.7,32.286,46.2025,24.1139,26.3191,14.3426,28.0635,21.7986,22.1467,31.9268,9.7978,3.3859,40.3343,34.814,15.6138,28.797,63.61,17.9029,12.8471,20.135,14.0013,11.1883,42.0674,11.4991,64.7955,13.8869,19.3787,13.7,35.6164,16.1544,17.2001,33.3066,30.091,39.4264,17.2061,27.5538,25.4532,33.32,19.064,25.8645,31.0643,27.8937,24.7579,6.9272,43.3578,4.5504
31/08/2009,224,9.2249,36.609,57.2101,9.893,26.3506,4341,30.4944,12.4685,7.4952,24.6778,2.0742,25.1706,57.77,48.59,28.308,32.2062,12.42,4.8719,9.8345,27.87,14.5098,4.1557,19.2547,291.8,952.2,32.226,45.9507,25.272,24.3685,16.2826,28.5864,22.7536,22.6152,34.6171,10.7636,3.6334,41.6233,33.006,16.5792,28.419,65.72,18.4313,12.5085,19.97,13.6024,10.5173,42.5129,12.3131,65.5729,14.7553,19.0424,14.62,35.5736,16.772,18.5313,34.913,31.7414,37.6901,16.462,30.1053,24.3426,34.5,19.889,28.0689,31.9686,29.4344,24.1414,7.3918,41.9849,4.6531
