asset_index,top_number,closing_id,median_down
54,6,53,1.1519529699105457
54,7,63,1.1519529699105457
54,8,66,1.1519529699105457
54,9,69,1.1519529699105457
54,10,74,1.1519529699105457
48,1,1,3.690980824077768
48,2,4,2.2697872064612814
48,3,8,2.264850727144036
48,4,2,1.7417148355750618
48,5,7,1.606319935437537
48,6,9,1.6038516957789144
48,7,29,1.3332150773370002
48,8,31,1.3332150773370002
48,9,33,1.147602443460321
48,10,40,1.147602443460321
5,1,4,1.8364247038791526
5,2,8,1.7364688599475306
5,3,9,1.470903360611898
5,4,10,1.205337861276265
5,5,12,1.205337861276265
5,6,14,1.091966966483965
5,7,15,0.9785960716916652
5,8,23,0.9785960716916652
5,9,27,0.9785960716916652
5,10,30,0.9371138994634607
19,1,1,2.4907445847064773
19,2,2,1.3993908159035076
19,3,8,0.5583908168412944
19,4,11,0.4849074626305224
19,5,10,0.46832755874031323
19,6,12,0.46832755874031323
19,7,7,0.43321393197091607
19,8,9,0.43321393197091607
19,9,14,0.38818230292042544
19,10,15,0.32275333841280174
64,1,36,1.1682816480137634
64,2,42,1.1682816480137634
64,3,44,1.1682816480137634
64,4,90,1.1682816480137634
64,5,33,1.1180754818258318
64,6,40,1.1180754818258318
64,7,43,1.1180754818258318
64,8,45,1.1180754818258318
64,9,64,1.1180754818258318
64,10,85,1.1180754818258318
41,1,1,5.37832223075112
41,2,2,2.130866334033155
41,3,33,1.5536074476468493
41,4,31,1.5227490430874324
41,5,36,1.5227490430874324
41,6,42,1.5227490430874324
41,7,44,1.5227490430874324
41,8,8,1.4918906385280153
41,9,27,1.4918906385280153
41,10,30,1.4918906385280153
15,1,1,2.7995844985378637
15,2,2,1.7644234569292556
15,3,7,0.9581709645256764
15,4,4,0.7292624153206474
15,5,8,0.7292624153206474
15,6,9,0.4910785972932292
15,7,15,0.38235998653710573
15,8,14,0.3414020008681544
15,9,19,0.3414020008681544
15,10,12,0.3004440151992031
43,1,9,0.7475326045749893
43,2,11,0.623246546689613
43,3,10,0.4575951831469001
43,4,12,0.4575951831469001
43,5,14,0.44756784692606477
43,6,131,0.44756784692606477
43,7,141,0.44756784692606477
43,8,8,0.43754051070522937
43,9,15,0.43754051070522937
43,10,129,0.43754051070522937
37,1,4,1.810102415951164
37,2,7,1.4610033610089848
37,3,9,1.4610033610089848
37,4,10,1.3681484889499413
37,5,12,1.3681484889499413
37,6,11,1.2400263975083732
37,7,14,1.2400263975083732
37,8,141,1.2316493082213664
37,9,140,1.22891095801996
37,10,138,1.2162836120168674
61,1,1,3.021740278226564
61,2,2,1.7307957717626565
61,3,9,0.9480731735594881
61,4,8,0.8923715895780797
61,5,10,0.8923715895780797
61,6,15,0.8923715895780797
61,7,23,0.8923715895780797
61,8,11,0.7981131283607679
61,9,14,0.7981131283607679
61,10,19,0.7981131283607679
9,1,1,6.580596048958175
9,2,2,4.0600503349328445
9,3,7,1.8788279723385393
9,4,8,1.7669611432361114
9,5,44,1.7273651783621624
9,6,33,1.6877692134882134
9,7,43,1.6877692134882134
9,8,45,1.6877692134882134
9,9,29,1.680791825952323
9,10,31,1.680791825952323
17,1,1,4.017369368749608
17,2,4,3.949690215333288
17,3,7,3.0091083902462845
17,4,2,2.518659126293257
17,5,9,2.086691146403102
17,6,8,2.0685265651592806
17,7,10,2.0685265651592806
17,8,11,1.8664890692692448
17,9,12,1.6644515733792091
17,10,14,1.569342446604209
35,1,1,5.102378150247455
35,2,2,2.6035053881319072
35,3,40,1.208759403791783
35,4,64,1.208759403791783
35,5,53,1.140892821604907
35,6,63,1.140892821604907
35,7,66,1.140892821604907
35,8,69,1.140892821604907
35,9,29,1.1002431306446527
35,10,31,1.1002431306446527
4,1,15,0.4010748685239045
4,2,36,0.32501227793218757
4,3,49,0.32501227793218757
4,4,80,0.32501227793218757
4,5,14,0.29805147347968924
4,6,19,0.29805147347968924
4,7,27,0.24894968734047063
4,8,30,0.24894968734047063
4,9,33,0.24894968734047063
4,10,40,0.24894968734047063
55,1,1,3.802310103905252
55,2,2,2.4041262787856734
55,3,4,1.7323011187712596
55,4,7,1.4638339422702482
55,5,8,1.1953667657692368
55,6,131,1.1919475114054598
55,7,141,1.1919475114054598
55,8,129,1.1885282570416829
55,9,133,1.1885282570416829
55,10,140,1.1885282570416829
59,1,4,1.6279440522621256
59,2,29,1.6270746692260787
59,3,23,1.6262052861900318
59,4,27,1.6262052861900318
59,5,30,1.6262052861900318
59,6,33,1.6262052861900318
59,7,45,1.6262052861900318
59,8,46,1.382280888603768
59,9,49,1.382280888603768
59,10,53,1.382280888603768
8,1,93,0.6465275086839195
8,2,44,0.637457439258495
8,3,92,0.6050491294245764
8,4,94,0.6050491294245764
8,5,8,0.5635707501652334
8,6,27,0.5635707501652334
8,7,30,0.5635707501652334
8,8,33,0.5635707501652334
8,9,40,0.5635707501652334
8,10,43,0.5635707501652334
23,1,10,2.181041037261229
23,2,9,1.8948561371047485
23,3,11,1.1256827741642892
23,4,12,0.5767072101820186
23,5,92,0.46015023740874095
23,6,88,0.45589530664824107
23,7,91,0.45589530664824107
23,8,93,0.45589530664824107
23,9,96,0.45589530664824107
23,10,98,0.45589530664824107
39,1,26,1.2216051926537843
39,2,9,1.196699096955377
39,3,12,1.1575751475146474
39,4,23,1.1575751475146474
39,5,27,1.1575751475146474
39,6,11,1.1326690518162401
39,7,14,1.1326690518162401
39,8,19,1.1326690518162401
39,9,29,1.1326690518162401
39,10,8,1.1077629561178326
49,1,44,1.2167736617398055
49,2,43,1.1611415995370533
49,3,45,1.1611415995370533
49,4,36,1.1548802817250423
49,5,42,1.1548802817250423
49,6,46,1.1548802817250423
49,7,23,1.1486189639130315
49,8,27,1.1486189639130315
49,9,33,1.1486189639130315
49,10,40,1.1486189639130315
7,1,7,2.310176785277952
7,2,4,2.2489150736212147
7,3,8,2.2489150736212147
7,4,10,1.4236449334763204
7,5,2,1.2901406429140754
7,6,9,1.2901406429140754
7,7,11,0.8775055728416282
7,8,12,0.6142410475628938
7,9,15,0.6142410475628938
7,10,23,0.6142410475628938
51,1,83,0.8370440477974036
51,2,82,0.8072112098427863
51,3,85,0.8072112098427863
51,4,123,0.8072112098427863
51,5,129,0.8072112098427863
51,6,80,0.7949758697908278
51,7,86,0.7949758697908278
51,8,92,0.7949758697908278
51,9,97,0.7949758697908278
51,10,108,0.7949758697908278
69,1,1,3.1057541394306805
69,2,19,1.435097440987593
69,3,15,1.2805975575009074
69,4,23,1.2805975575009074
69,5,14,1.2745452469953849
69,6,26,1.2745452469953849
69,7,12,1.268492936489862
69,8,27,1.268492936489862
69,9,33,1.268492936489862
69,10,40,1.268492936489862
63,1,1,1.7249374048353654
63,2,44,1.5894154163774257
63,3,45,1.56441933987697
63,4,64,1.56441933987697
63,5,67,1.56441933987697
63,6,72,1.56441933987697
63,7,85,1.56441933987697
63,8,46,1.5091563838982278
63,9,49,1.5091563838982278
63,10,53,1.5091563838982278
10,1,1,3.325620536817042
10,2,4,2.8295992854881016
10,3,7,1.8763847589021132
10,4,2,1.6633644007970412
10,5,8,1.2911272722773792
10,6,9,1.107148752296752
10,7,11,0.9634705954370237
10,8,10,0.9231702323161247
10,9,12,0.9231702323161247
10,10,14,0.8843300725177412
50,1,26,1.1189046792971258
50,2,23,1.0076873526785668
50,3,27,1.0076873526785668
50,4,97,0.9905515280141365
50,5,96,0.9735655587218461
50,6,98,0.9735655587218461
50,7,102,0.9735655587218461
50,8,92,0.9441761805018383
50,9,94,0.9441761805018383
50,10,99,0.9441761805018383
45,1,7,1.053013723342358
45,2,1,1.031490682449206
45,3,4,1.031490682449206
45,4,8,1.031490682449206
45,5,10,1.031490682449206
45,6,9,1.02780639751241
45,7,11,1.02780639751241
45,8,12,1.0241221125756144
45,9,14,0.9899617628689769
45,10,19,0.9899617628689769
38,1,1,2.6275197546475035
38,2,2,1.5148672921776924
38,3,30,0.7956321433638939
38,4,40,0.7956321433638939
38,5,43,0.7956321433638939
38,6,48,0.7956321433638939
38,7,44,0.7630820420432208
38,8,46,0.7630820420432208
38,9,49,0.7630820420432208
38,10,45,0.7305319407225478
25,1,29,0.8144320646621859
25,2,27,0.7719201212616814
25,3,30,0.7719201212616814
25,4,140,0.7719201212616814
25,5,138,0.7252898907929455
25,6,141,0.7252898907929455
25,7,26,0.7211404502428953
25,8,31,0.7211404502428953
25,9,133,0.6786596603242095
25,10,46,0.6745102197741595
24,1,129,0.26250116098116894
24,2,127,0.25322825482510813
24,3,131,0.25322825482510813
24,4,123,0.2439553486690474
24,5,126,0.2439553486690474
24,6,133,0.2439553486690474
24,7,97,0.20012476796432166
24,8,108,0.20012476796432166
24,9,124,0.20012476796432166
24,10,138,0.20012476796432166
62,1,1,1.8081080863427086
62,2,2,1.3126522146904955
62,3,40,1.0168653430133037
62,4,43,1.0168653430133037
62,5,31,1.0012717890123604
62,6,36,1.0012717890123604
62,7,42,1.0012717890123604
62,8,44,1.0012717890123604
62,9,29,0.9897370331031576
62,10,30,0.985678235011417
29,1,27,1.1097056631167272
29,2,36,1.0080189454659165
29,3,9,0.9550357953007755
29,4,11,0.9550357953007755
29,5,14,0.9550357953007755
29,6,19,0.9550357953007755
29,7,26,0.9550357953007755
29,8,29,0.9550357953007755
29,9,46,0.917085695665459
29,10,49,0.917085695665459
21,1,7,1.5707322916826896
21,2,9,1.5707322916826896
21,3,94,1.4957562231296415
21,4,97,1.4957562231296415
21,5,93,1.4930216303329238
21,6,96,1.4930216303329238
21,7,98,1.4930216303329238
21,8,102,1.4930216303329238
21,9,129,1.4930216303329238
21,10,90,1.455946791254592
32,1,1,2.873136297968593
32,2,2,1.7426714306742845
32,3,4,1.31056101286081
32,4,7,0.961383788120393
32,5,8,0.6122065633799761
32,6,30,0.6122065633799761
32,7,29,0.6081297034773909
32,8,31,0.6081297034773909
32,9,15,0.6040528435748058
32,10,27,0.6040528435748058
60,1,8,1.5773492136404554
60,2,7,1.4304362314077652
60,3,9,1.4304362314077652
60,4,63,1.3896317465620331
60,5,15,1.3572219175138542
60,6,45,1.3572219175138542
60,7,48,1.3572219175138542
60,8,54,1.3572219175138542
60,9,64,1.3572219175138542
60,10,14,1.3203725833444646
56,1,1,1.3697744649476347
56,2,40,1.2704144746426498
56,3,44,1.2616500232814143
56,4,43,1.2528855719201788
56,5,45,1.2528855719201788
56,6,36,1.2464453918607536
56,7,42,1.2464453918607536
56,8,46,1.2376809404995184
56,9,49,1.2376809404995184
56,10,53,1.2376809404995184
58,1,1,2.011715170679212
58,2,8,1.5465446309094644
58,3,2,1.4627492745672515
58,4,27,1.4058340048739957
58,5,26,1.2784414891457265
58,6,29,1.2784414891457265
58,7,7,1.2301640046823776
58,8,9,1.2301640046823776
58,9,23,1.1510489734174572
58,10,30,1.1510489734174572
11,1,1,1.7747306648506405
11,2,36,0.7936082861481928
11,3,2,0.6657905352249467
11,4,4,0.6473647285619997
11,5,33,0.6473647285619997
11,6,40,0.6473647285619997
11,7,54,0.6473647285619997
11,8,49,0.5369814643582804
11,9,53,0.5369814643582804
11,10,63,0.5369814643582804
33,1,1,2.8498834240208657
33,2,4,2.7939702970813345
33,3,7,2.160212483605874
33,4,8,1.526454670130414
33,5,2,1.4377236440537333
33,6,44,1.3478211255588635
33,7,14,1.1814201426519855
33,8,26,1.1814201426519855
33,9,33,1.1691875809873131
33,10,43,1.1691875809873131
68,1,141,0.2510945742302331
68,2,48,0.2146007840869991
68,3,140,0.2146007840869991
68,4,46,0.16804241887579824
68,5,49,0.16804241887579824
68,6,63,0.16804241887579824
68,7,138,0.16804241887579824
68,8,11,0.15582241965024354
68,9,14,0.15582241965024354
68,10,45,0.1214840536645974
14,1,33,0.6616705995909383
14,2,40,0.6616705995909383
14,3,45,0.6616705995909383
14,4,31,0.5748342571831501
14,5,36,0.5748342571831501
14,6,42,0.5748342571831501
14,7,44,0.5748342571831501
14,8,46,0.5748342571831501
14,9,49,0.5748342571831501
14,10,7,0.5677504493159351
42,1,1,3.6503199661643864
42,2,2,2.242404318849234
42,3,96,2.145695813257697
42,4,98,2.145695813257697
42,5,102,2.145695813257697
42,6,92,1.9920912976784682
42,7,94,1.9920912976784682
42,8,97,1.9920912976784682
42,9,99,1.9920912976784682
42,10,103,1.9920912976784682
2,1,23,1.2122809135922936
2,2,19,1.1123543684314359
2,3,26,1.1123543684314359
2,4,15,1.0124278232705781
2,5,27,1.0124278232705781
2,6,11,0.8826900288508341
2,7,14,0.8826900288508341
2,8,29,0.8826900288508341
2,9,9,0.8138216645476917
2,10,10,0.7529522344310903
30,1,1,2.584356189752081
30,2,2,1.6243127829411614
30,3,4,0.664269376130242
30,4,15,0.664269376130242
30,5,14,0.49705077477426085
30,6,19,0.49705077477426085
30,7,48,0.40311212569414034
30,8,46,0.36906773689889083
30,9,49,0.36906773689889083
30,10,123,0.35342367360062493
66,1,1,2.052172832836102
66,2,4,2.0302342289507527
66,3,8,1.6053764569988462
66,4,2,1.273505267507565
66,5,7,1.2625359655648904
66,6,9,1.0501070795889373
66,7,141,0.8236098143848265
66,8,12,0.8025652087397638
66,9,140,0.8025652087397638
66,10,138,0.7211448165596843
46,1,94,1.644535776285823
46,2,97,1.644535776285823
46,3,93,1.6280531149720583
46,4,96,1.6280531149720583
46,5,98,1.6280531149720583
46,6,102,1.6280531149720583
46,7,129,1.6280531149720583
46,8,90,1.6007493813618905
46,9,92,1.6007493813618905
46,10,99,1.6007493813618905
67,1,141,1.8979682949183392
67,2,126,1.8762917334749876
67,3,129,1.8762917334749876
67,4,140,1.8762917334749876
67,5,103,1.8518425798144755
67,6,108,1.8518425798144755
67,7,124,1.8518425798144755
67,8,127,1.8518425798144755
67,9,131,1.8518425798144755
67,10,138,1.8518425798144755
0,1,7,2.6754231308571814
0,2,1,1.9850679891112766
